fase,contamination,n_estimators,max_samples,max_features,prep,n_feats,subset,promocionable,umbral,iso_tp,iso_fp,iso_tpr,iso_fpr,iso_precision,iso_f1,iso_accuracy,ens_tp,ens_fp,ens_tpr,ens_fpr,ens_precision,ens_f1,ens_accuracy
fase1,0.001,500,128,1.0,standard,17,17,directo,q05,108,112,1.0,0.487,0.4909,0.6585,0.6686,108,86,1.0,0.3739,0.5567,0.7152,0.7456
fase1,0.001,500,128,1.0,standard,17,17,directo,q01,108,51,1.0,0.2217,0.6792,0.809,0.8491,108,3,1.0,0.013,0.973,0.9863,0.9911
fase1,0.001,500,auto,0.5,standard,17,17,directo,q10,108,162,1.0,0.7043,0.4,0.5714,0.5207,108,97,1.0,0.4217,0.5268,0.6901,0.713
fase1,0.001,500,auto,0.5,standard,17,17,directo,q05,108,140,1.0,0.6087,0.4355,0.6067,0.5858,108,81,1.0,0.3522,0.5714,0.7273,0.7604
fase1,0.001,500,auto,0.5,standard,17,17,directo,q01,108,59,1.0,0.2565,0.6467,0.7855,0.8254,108,6,1.0,0.0261,0.9474,0.973,0.9822
fase1,0.001,500,auto,0.7,standard,17,17,directo,q10,108,174,1.0,0.7565,0.383,0.5538,0.4852,108,98,1.0,0.4261,0.5243,0.6879,0.7101
fase1,0.001,500,auto,0.7,standard,17,17,directo,q05,108,142,1.0,0.6174,0.432,0.6034,0.5799,108,88,1.0,0.3826,0.551,0.7105,0.7396
fase1,0.001,500,auto,0.7,standard,17,17,directo,q01,108,52,1.0,0.2261,0.675,0.806,0.8462,108,4,1.0,0.0174,0.9643,0.9818,0.9882
fase1,0.001,500,auto,1.0,standard,17,17,directo,q10,108,170,1.0,0.7391,0.3885,0.5596,0.497,108,100,1.0,0.4348,0.5192,0.6835,0.7041
fase1,0.001,500,auto,1.0,standard,17,17,directo,q05,108,127,1.0,0.5522,0.4596,0.6297,0.6243,108,88,1.0,0.3826,0.551,0.7105,0.7396
fase1,0.001,500,auto,1.0,standard,17,17,directo,q01,108,61,1.0,0.2652,0.6391,0.7798,0.8195,108,4,1.0,0.0174,0.9643,0.9818,0.9882
fase1,0.005,100,64,0.5,standard,17,17,directo,q10,108,107,1.0,0.4652,0.5023,0.6687,0.6834,108,75,1.0,0.3261,0.5902,0.7423,0.7781
fase1,0.005,100,64,0.5,standard,17,17,directo,q05,108,94,1.0,0.4087,0.5347,0.6968,0.7219,108,41,1.0,0.1783,0.7248,0.8405,0.8787
