run,inicio,fin,n
normal_media_02,2026-09-23 11:20:29,2026-09-23 11:21:17,10
normal_media_02,2026-09-23 11:20:34,2026-09-23 11:21:22,10
normal_media_02,2026-09-23 11:20:40,2026-09-23 11:21:27,10
normal_media_02,2026-09-23 11:20:45,2026-09-23 11:21:33,10
normal_media_02,2026-09-23 11:20:50,2026-09-23 11:21:38,10
normal_media_02,2026-09-23 11:20:56,2026-09-23 11:21:43,10
normal_media_02,2026-09-23 11:21:01,2026-09-23 11:21:49,10
normal_media_02,2026-09-23 11:21:06,2026-09-23 11:21:54,10
normal_media_02,2026-09-23 11:21:11,2026-09-23 11:21:59,10
normal_media_02,2026-09-23 11:21:17,2026-09-23 11:22:04,10
normal_media_02,2026-09-23 11:21:22,2026-09-23 11:22:10,10
normal_media_02,2026-09-23 11:21:27,2026-09-23 11:22:15,10
normal_media_02,2026-09-23 11:21:33,2026-09-23 11:22:20,10
normal_media_02,2026-09-23 11:21:38,2026-09-23 11:22:26,10
normal_media_02,2026-09-23 11:21:43,2026-09-23 11:22:31,10
normal_media_02,2026-09-23 11:21:49,2026-09-23 11:22:36,10
normal_media_02,2026-09-23 11:21:54,2026-09-23 11:22:42,10
normal_media_02,2026-09-23 11:21:59,2026-09-23 11:22:47,10
normal_media_02,2026-09-23 11:22:04,2026-09-23 11:22:52,10
normal_media_02,2026-09-23 11:22:10,2026-09-23 11:22:57,10
normal_media_02,2026-09-23 11:22:15,2026-09-23 11:23:03,10
normal_media_02,2026-09-23 11:22:20,2026-09-23 11:23:08,10
normal_media_02,2026-09-23 11:22:26,2026-09-23 11:23:13,10
normal_media_02,2026-09-23 11:22:31,2026-09-23 11:23:19,10
normal_media_02,2026-09-23 11:22:36,2026-09-23 11:23:24,10
normal_media_02,2026-09-23 11:22:42,2026-09-23 11:23:30,10
normal_media_02,2026-09-23 11:22:47,2026-09-23 11:23:35,10
normal_media_02,2026-09-23 11:22:52,2026-09-23 11:23:40,10
normal_media_02,2026-09-23 11:22:57,2026-09-23 11:23:46,10
normal_media_02,2026-09-23 11:23:03,2026-09-23 11:23:51,10
normal_media_02,2026-09-23 11:23:08,2026-09-23 11:23:57,10
normal_media_02,2026-09-23 11:23:13,2026-09-23 11:24:02,10
normal_media_02,2026-09-23 11:23:19,2026-09-23 11:24:07,10
normal_media_02,2026-09-23 11:23:24,2026-09-23 11:24:13,10
normal_media_02,2026-09-23 11:23:30,2026-09-23 11:24:18,10
normal_media_02,2026-09-23 11:23:35,2026-09-23 11:24:23,10
normal_media_02,2026-09-23 11:23:40,2026-09-23 11:24:29,10
normal_media_02,2026-09-23 11:23:46,2026-09-23 11:24:34,10
normal_media_02,2026-09-23 11:23:51,2026-09-23 11:24:40,10
normal_media_02,2026-09-23 11:23:57,2026-09-23 11:24:45,10
normal_media_02,2026-09-23 11:24:02,2026-09-23 11:24:50,10
normal_media_02,2026-09-23 11:24:07,2026-09-23 11:24:56,10
normal_media_02,2026-09-23 11:24:13,2026-09-23 11:25:01,10
normal_media_02,2026-09-23 11:24:18,2026-09-23 11:25:07,10
normal_media_02,2026-09-23 11:24:23,2026-09-23 11:25:12,10
normal_media_02,2026-09-23 11:24:29,2026-09-23 11:25:18,10
normal_media_02,2026-09-23 11:24:34,2026-09-23 11:25:23,10
normal_prueba_01,2026-09-23 11:02:10,2026-09-23 11:02:59,10
normal_prueba_01,2026-09-23 11:02:17,2026-09-23 11:03:04,10
normal_prueba_01,2026-09-23 11:02:22,2026-09-23 11:03:09,10
normal_prueba_01,2026-09-23 11:02:27,2026-09-23 11:03:15,10
normal_prueba_01,2026-09-23 11:02:33,2026-09-23 11:03:20,10
normal_prueba_01,2026-09-23 11:02:38,2026-09-23 11:03:25,10
normal_prueba_01,2026-09-23 11:02:43,2026-09-23 11:03:30,10
normal_prueba_01,2026-09-23 11:02:48,2026-09-23 11:03:35,10
normal_prueba_01,2026-09-23 11:02:54,2026-09-23 11:03:41,10
normal_prueba_01,2026-09-23 11:02:59,2026-09-23 11:03:46,10
carga5,2026-09-11 10:39:17,2026-09-11 10:40:06,10
carga5,2026-09-11 10:39:25,2026-09-11 10:40:12,10
carga5,2026-09-11 10:39:30,2026-09-11 10:40:17,10
carga5,2026-09-11 10:39:35,2026-09-11 10:40:22,10
carga5,2026-09-11 10:39:40,2026-09-11 10:40:27,10
carga5,2026-09-11 10:39:46,2026-09-11 10:40:33,10
carga5,2026-09-11 10:39:51,2026-09-11 10:40:38,10
carga5,2026-09-11 10:39:56,2026-09-11 10:40:43,10
carga5,2026-09-11 10:40:01,2026-09-11 10:40:48,10
carga5,2026-09-11 10:40:06,2026-09-11 10:40:53,10
carga5,2026-09-11 10:40:12,2026-09-11 10:40:59,10
carga5,2026-09-11 10:40:17,2026-09-11 10:41:04,10
carga5,2026-09-11 10:40:22,2026-09-11 10:41:09,10
carga5,2026-09-11 10:40:27,2026-09-11 10:41:14,10
carga5,2026-09-11 10:40:33,2026-09-11 10:41:19,10
carga5,2026-09-11 10:40:38,2026-09-11 10:41:25,10
carga5,2026-09-11 10:40:43,2026-09-11 10:41:31,10
carga5,2026-09-11 10:40:48,2026-09-11 10:41:38,10
carga5,2026-09-11 10:40:53,2026-09-11 10:41:43,10
carga5,2026-09-11 10:40:59,2026-09-11 10:41:48,10
carga5,2026-09-11 10:41:04,2026-09-11 10:41:54,10
carga5,2026-09-11 10:41:09,2026-09-11 10:41:59,10
carga5,2026-09-11 10:41:14,2026-09-11 10:42:04,10
carga5,2026-09-11 10:41:19,2026-09-11 10:42:09,10
carga5,2026-09-11 10:41:25,2026-09-11 10:42:15,10
carga5,2026-09-11 10:41:31,2026-09-11 10:42:20,10
carga5,2026-09-11 10:41:38,2026-09-11 10:42:25,10
11,2026-09-11 08:50:13,2026-09-11 08:51:00,10
11,2026-09-11 08:50:19,2026-09-11 08:51:05,10
11,2026-09-11 08:50:24,2026-09-11 08:51:10,10
11,2026-09-11 08:50:29,2026-09-11 08:51:15,10
11,2026-09-11 08:50:34,2026-09-11 08:51:20,10
11,2026-09-11 08:50:39,2026-09-11 08:51:26,10
11,2026-09-11 08:50:44,2026-09-11 08:51:31,10
11,2026-09-11 08:50:50,2026-09-11 08:51:36,10
11,2026-09-11 08:50:55,2026-09-11 08:51:41,10
11,2026-09-11 08:51:00,2026-09-11 08:51:46,10
11,2026-09-11 08:51:05,2026-09-11 08:51:51,10
11,2026-09-11 08:51:10,2026-09-11 08:51:56,10
11,2026-09-11 08:51:15,2026-09-11 08:52:01,10
11,2026-09-11 08:51:20,2026-09-11 08:52:07,10
11,2026-09-11 08:51:26,2026-09-11 08:52:12,10
11,2026-09-11 08:51:31,2026-09-11 08:52:17,10
11,2026-09-11 08:51:36,2026-09-11 08:52:22,10
11,2026-09-11 08:51:41,2026-09-11 08:52:29,10
11,2026-09-11 08:51:46,2026-09-11 08:52:35,10
11,2026-09-11 08:51:51,2026-09-11 08:52:40,10
11,2026-09-11 08:51:56,2026-09-11 08:52:45,10
11,2026-09-11 08:52:01,2026-09-11 08:52:50,10
11,2026-09-11 08:52:07,2026-09-11 08:52:56,10
11,2026-09-11 08:52:12,2026-09-11 08:53:01,10
11,2026-09-11 08:52:17,2026-09-11 08:53:06,10
11,2026-09-11 08:52:22,2026-09-11 08:53:11,10
11,2026-09-11 08:52:29,2026-09-11 08:53:16,10
6,2026-09-11 03:52:27,2026-09-11 03:53:14,10
6,2026-09-11 03:52:32,2026-09-11 03:53:19,10
6,2026-09-11 03:52:38,2026-09-11 03:53:24,10
6,2026-09-11 03:52:43,2026-09-11 03:53:30,10
6,2026-09-11 03:52:48,2026-09-11 03:53:35,10
6,2026-09-11 03:52:53,2026-09-11 03:53:40,10
6,2026-09-11 03:52:58,2026-09-11 03:53:45,10
6,2026-09-11 03:53:03,2026-09-11 03:53:50,10
6,2026-09-11 03:53:09,2026-09-11 03:53:55,10
6,2026-09-11 03:53:14,2026-09-11 03:54:00,10
6,2026-09-11 03:53:19,2026-09-11 03:54:06,10
6,2026-09-11 03:53:24,2026-09-11 03:54:11,10
6,2026-09-11 03:53:30,2026-09-11 03:54:16,10
6,2026-09-11 03:53:35,2026-09-11 03:54:21,10
6,2026-09-11 03:53:40,2026-09-11 03:54:26,10
6,2026-09-11 03:53:45,2026-09-11 03:54:31,10
6,2026-09-11 03:53:50,2026-09-11 03:54:37,10
6,2026-09-11 03:53:55,2026-09-11 03:54:43,10
6,2026-09-11 03:54:00,2026-09-11 03:54:49,10
6,2026-09-11 03:54:06,2026-09-11 03:54:54,10
6,2026-09-11 03:54:11,2026-09-11 03:54:59,10
6,2026-09-11 03:54:16,2026-09-11 03:55:05,10
6,2026-09-11 03:54:21,2026-09-11 03:55:10,10
6,2026-09-11 03:54:26,2026-09-11 03:55:15,10
6,2026-09-11 03:54:31,2026-09-11 03:55:20,10
6,2026-09-11 03:54:37,2026-09-11 03:55:25,10
6,2026-09-11 03:54:43,2026-09-11 03:55:31,10
run5,2026-09-11 03:05:45,2026-09-11 03:06:32,10
run5,2026-09-11 03:05:51,2026-09-11 03:06:38,10
run5,2026-09-11 03:05:56,2026-09-11 03:06:43,10
run5,2026-09-11 03:06:01,2026-09-11 03:06:48,10
run5,2026-09-11 03:06:06,2026-09-11 03:06:53,10
run5,2026-09-11 03:06:12,2026-09-11 03:06:58,10
run5,2026-09-11 03:06:17,2026-09-11 03:07:03,10
run5,2026-09-11 03:06:22,2026-09-11 03:07:09,10
run5,2026-09-11 03:06:27,2026-09-11 03:07:14,10
run5,2026-09-11 03:06:32,2026-09-11 03:07:19,10
run5,2026-09-11 03:06:38,2026-09-11 03:07:24,10
run5,2026-09-11 03:06:43,2026-09-11 03:07:29,10
run5,2026-09-11 03:06:48,2026-09-11 03:07:35,10
run5,2026-09-11 03:06:53,2026-09-11 03:07:40,10
run5,2026-09-11 03:06:58,2026-09-11 03:07:45,10
run5,2026-09-11 03:07:03,2026-09-11 03:07:50,10
run5,2026-09-11 03:07:09,2026-09-11 03:07:56,10
run5,2026-09-11 03:07:14,2026-09-11 03:08:02,10
run5,2026-09-11 03:07:19,2026-09-11 03:08:07,10
run5,2026-09-11 03:07:24,2026-09-11 03:08:12,10
run5,2026-09-11 03:07:29,2026-09-11 03:08:17,10
run5,2026-09-11 03:07:35,2026-09-11 03:08:23,10
run5,2026-09-11 03:07:40,2026-09-11 03:08:28,10
run5,2026-09-11 03:07:45,2026-09-11 03:08:33,10
run5,2026-09-11 03:07:50,2026-09-11 03:08:38,10
run5,2026-09-11 03:07:56,2026-09-11 03:08:43,10
run5,2026-09-11 03:08:02,2026-09-11 03:08:48,10
